organization_id,organization_name,profile_version,service_family_id,service_family,capability_id,capability_name,capability_description,delivery_modes,target_sectors,lifecycle_stages,positive_keywords,strong_match_phrases,exclusion_keywords,related_roles,methods_technologies,default_priority,source_basis,source_url,confidence,active,notes
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-005,Technical Training and Knowledge Transfer,"Deliver tailored training for legacy and modern technologies, new processes, systems, tools, and role-specific responsibilities.",Training;Knowledge Transfer;Implementation Support,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Training;Implementation;Transition,technical training;system training;user training;knowledge transfer;legacy systems training;modern technology training,technical training delivery;system user training;technology knowledge transfer,clinical change management;cash management;configuration management only;organizational psychology research only,Technical Trainer;Instructional Designer;Subject Matter Expert;Change Manager,Instructor-led training;workshops;job aids;role-based training;train-the-trainer;knowledge transfer,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-006,Adoption Monitoring and Training Effectiveness,"Track adoption, collect feedback, evaluate training effectiveness, identify barriers, and recommend corrective support.",Assessment;Monitoring;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Implementation;Adoption;Monitoring,adoption monitoring;change adoption;training effectiveness;adoption metrics;user feedback;readiness KPI,monitor user adoption;measure training effectiveness;change adoption metrics,clinical change management;cash management;configuration management only;organizational psychology research only,OCM Analyst;Training Lead;Data Analyst;Change Manager,Adoption KPIs;surveys;interviews;focus groups;training evaluation;feedback analysis,High,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF06,Organizational Change Management & Training,ICM-OCM-007,Change Sustainment and Reinforcement,"Reinforce new behaviors, provide ongoing support, monitor long-term adoption, and adjust the change approach as conditions evolve.",Advisory;Support;Sustainment,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Sustainment;Operations;Continuous Improvement,change sustainment;reinforcement plan;continuous support;long-term adoption;change stabilization;ongoing training,sustain organizational change;change reinforcement plan;long-term adoption support,clinical change management;cash management;configuration management only;organizational psychology research only,Change Manager;Training Lead;Operations Lead;Communications Lead,Reinforcement planning;performance monitoring;refresher training;feedback analysis;continuous support,Medium,Official ICM service page,https://icmsol.com/organizational-change-management,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-001,Software Development Staffing,Provide contract software developers across modern and legacy technologies for project delivery and workforce scaling.,Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,software developer staffing;contract developer;JavaScript developer;.NET developer;Python developer;SQL developer;legacy developer,contract software developers;IT developer staff augmentation;temporary application developers,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,JavaScript Developer;.NET Developer;Python Developer;SQL Developer;Legacy Developer;Technical Lead,Candidate sourcing;technical interviews;practical assessments;background checks;onboarding,High,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-002,Mobile Application Development Staffing,"Provide iOS, Android, and cross-platform mobile developers on a contract basis.",Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,mobile developer staffing;iOS developer;Android developer;cross-platform developer;mobile app contractor,contract mobile application developers;iOS and Android staffing;mobile developer staff augmentation,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,iOS Developer;Android Developer;Cross-Platform Developer;Mobile Technical Lead,Candidate sourcing;technical screening;practical assessment;onboarding;assignment support,Medium,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-003,"Business, Systems, and Technical Analyst Staffing","Provide business analysts, business systems analysts, and technical analysts who connect business needs with technology delivery.",Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,business analyst staffing;business systems analyst;technical analyst;BSA contractor;requirements analyst,contract business analyst;business systems analyst staffing;technical analyst staff augmentation,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,Business Analyst;Business Systems Analyst;Technical Analyst;Requirements Analyst,Requirements analysis;process analysis;stakeholder facilitation;documentation;traceability,High,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-004,Functional Analyst Staffing,"Provide functional analysts who elicit requirements, define business functions, and validate that solutions meet operational needs.",Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,functional analyst staffing;functional consultant;functional requirements;business function analyst,contract functional analyst;functional consultant staffing;functional requirements analyst,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,Functional Analyst;Functional Consultant;Business Analyst;Subject Matter Expert,Functional requirements;process design;solution validation;user acceptance support,Medium,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-005,Project and Program Management Staffing,"Provide project managers, program managers, PMO leads, and project controls professionals for complex technology initiatives.",Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,project manager staffing;program manager staffing;PMO consultant;technical project manager;project controls,contract project manager;program management staff augmentation;PMO staffing,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,Project Manager;Program Manager;PMO Lead;Project Controls Analyst;Scheduler,Project planning;governance;schedule;budget;risk;status reporting;stakeholder management,High,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-006,QA and Testing Staffing,"Provide manual testers, automation engineers, QA analysts, test leads, and performance testers.",Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,QA staffing;software tester staffing;test engineer;automation engineer;manual tester;performance tester,contract QA professionals;software testing staff augmentation;test automation staffing,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,QA Analyst;Test Engineer;Automation Engineer;Test Lead;Performance Tester,Manual testing;automation;regression;defect management;performance testing;test reporting,High,Official ICM service page,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF07,Contract Staffing,ICM-STF-007,IV&V and Independent Oversight Staffing,Provide IV&V specialists and independent project-assurance professionals for objective public-sector oversight.,Contract Staffing;Staff Augmentation;Project-Based Staffing,State government;Local government;Public sector,Staffing Need;Sourcing;Screening;Onboarding;Assignment;Offboarding,IV&V staffing;independent verification and validation specialist;independent oversight consultant;project assurance staffing,contract IV&V specialist;independent oversight staffing;IV&V staff augmentation,nursing staffing;medical staffing;warehouse staffing;construction labor;hospitality staffing,IV&V Lead;IV&V Analyst;Technical Reviewer;Project Management Advisor;Quality Manager,Independent assessment;artifact review;risk reporting;traceability;project assurance,High,Official ICM service page; official ICM industries page; prior ICM capstone context,https://icmsol.com/contract-staffing,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-001,Procurement Needs Assessment,"Define procurement objectives, stakeholder needs, technical requirements, constraints, budget considerations, and desired outcomes.",Advisory;Procurement Support,State government;Local government;Public sector;Private sector,Needs Assessment;Planning,procurement needs assessment;acquisition requirements;procurement objectives;stakeholder requirements;procurement constraints,IT procurement needs assessment;define acquisition requirements;procurement requirements analysis,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Manager;Business Analyst;Technical Advisor;Project Manager,Stakeholder interviews;requirements definition;constraint analysis;objective alignment,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-002,Procurement Strategy Development,"Develop acquisition strategies, timelines, milestones, sourcing approaches, evaluation methods, and procurement roadmaps for IT services, products, and tools.",Advisory;Strategy;Procurement Support,State government;Local government;Public sector;Private sector,Planning;Strategy;Sourcing,procurement strategy;acquisition strategy;sourcing strategy;procurement roadmap;IT acquisition planning,IT procurement strategy;technology acquisition roadmap;procurement strategy development,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Manager;Acquisition Advisor;Technical Advisor;Project Manager,Sourcing options;market approach;timeline;milestones;best practices;governance,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-003,Market Research and Vendor Analysis,"Research vendors, services, products, tools, and cloud solutions to identify options aligned with requirements and objectives.",Market Research;Advisory;Procurement Support,State government;Local government;Public sector;Private sector,Market Research;Sourcing;Evaluation,market research;vendor research;vendor analysis;solution analysis;cloud technology evaluation;industry analysis,procurement market research;vendor and solution analysis;cloud solution evaluation,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Analyst;Market Research Analyst;Cloud Advisor;Technical Advisor,Vendor identification;solution comparison;market scan;cloud evaluation;capability analysis,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-004,RFP and RFQ Preparation,"Develop clear solicitation specifications, requirements, evaluation criteria, instructions, and stakeholder-reviewed procurement documents.",Procurement Support;Document Development;Advisory,State government;Local government;Public sector;Private sector,Solicitation Development;Review,RFP preparation;RFQ preparation;RFP development;RFQ development;solicitation development;solicitation drafting;evaluation criteria,prepare RFP;develop RFQ;write solicitation requirements and evaluation criteria,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Manager;Business Analyst;Technical Writer;Subject Matter Expert,Requirements drafting;specifications;evaluation metrics;stakeholder review;document quality assurance,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-005,Bid and Proposal Response Support,"Help businesses interpret procurement requests, organize resources, draft compelling responses, review compliance, and improve response quality.",Bid Support;Proposal Development;Review,Small business;Technology consulting partners;Private sector;Public-sector bidders,Opportunity Review;Response Development;Quality Review;Submission Preparation,bid support;proposal response;RFP response;solicitation response;proposal writing;compliance matrix;response review,write RFP response;public-sector bid support;proposal response development,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Proposal Manager;Capture Manager;Technical Writer;Business Development Lead;Subject Matter Expert,Compliance matrix;response outline;strengths and qualifications;resource planning;quality review;red-team review,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-006,Contract Vehicle Strategy and Utilization,"Identify and leverage appropriate contract vehicles to streamline acquisition or participation, including California Small Business, CMAS, and MSA mechanisms.",Advisory;Procurement Support;Business Development,State government;Local government;California public sector;Small business,Strategy;Sourcing;Opportunity Review,contract vehicle;CMAS;MSA;California Small Business;master service agreement;cooperative agreement;procurement vehicle,contract vehicle utilization;CMAS opportunity;California Small Business contract;MSA procurement,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Manager;Business Development Lead;Contracts Specialist;Proposal Manager,Vehicle eligibility review;procurement-path analysis;partnering;contract-vehicle mapping,High,Official ICM service page,https://icmsol.com/procurement,High,TRUE,The system may recommend review of a vehicle; final eligibility and use remain human determinations.
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF08,Procurement,ICM-PRC-007,"Evaluation, Selection, Negotiation, Award, and Vendor Management Support","Support evaluation of responses, vendor selection, negotiation preparation, award activities, compliance checks, and ongoing vendor-management processes.",Advisory;Procurement Support;Evaluation,State government;Local government;Public sector;Private sector,Evaluation;Selection;Negotiation;Award;Vendor Management,proposal evaluation;vendor selection;contract negotiation;contract award;vendor management;procurement compliance;source selection,evaluate vendor proposals;contract negotiation support;vendor selection and award,commodity resale only;office supplies only;construction materials only;personal shopping;consumer purchasing,Procurement Manager;Evaluation Lead;Contracts Specialist;Technical Advisor;Project Manager,Evaluation criteria;scoring support;due diligence;negotiation preparation;award support;vendor performance monitoring,Medium,Official ICM service page,https://icmsol.com/procurement,High,TRUE,"Final selection, negotiation position, award, and compliance decisions remain with authorized humans."
